subject,condition,trial,targetx,targety,targetang,rotationval,cursorendpointy,cursorendpointx,conditionnumber,pathlength,movementduration,cursorobstaclexy,maxdev_cm,maxdev_angle,maxdev_x,max_y_peakvel,AUC,RMSExy,angmaxvel,block3,block5,block10,rotgroup
ab0529,nocur_1,12,0,12,90,1,7.581864753,-0.552676691,2,8.692214971,1274.69072,-2.271786483,-2.318824631,62.93129662,4.537490691,-2.271786483,12.41962252,1.59762797,-29.36427081,3,2,1,2
ab0529,nocur_1,13,-6,10.41818182,120,-1,9.147870743,0.032106374,2,9.600784132,1151.517631,0.682644907,0.697180882,-51.20157395,4.504332963,0.681830803,4.173031083,0.418297804,7.684252991,4,2,1,2
ab0529,nocur_1,14,6,10.41818182,60,-1,9.36328555,0.015477689,2,12.01675309,1721.921823,3.211737428,3.252764468,-75.75302721,3.339409103,2.737046361,20.91814399,2.157407487,25.54776477,4,2,1,2
ab0529,nocur_1,15,0,12,90,-1,8.559188393,0.459035771,2,9.363387207,1610.644408,2.096076622,2.184408368,-67.58304229,5.295323013,1.985226486,13.11751284,1.489720784,29.62407263,4,2,1,2
ab0529,nocur_1,16,-3.109090909,11.61818182,105,1,8.801729057,1.707968225,2,11.41247423,1388.936756,-2.448092021,-2.459457406,70.24391993,3.544490018,-0.20549227,14.5484338,1.646034254,-1.503488295,5,3,1,2
ab0529,nocur_1,17,6,10.41818182,60,1,9.950025795,-0.816205363,2,10.10485035,1155.464514,-0.371652453,-0.820476835,55.25239899,9.879141212,-0.467395388,4.347913453,0.497936794,-5.131248777,5,3,1,2
ab0529,nocur_1,18,3.109090909,11.61818182,75,1,9.61148296,-0.13071523,2,9.529240187,1272.173517,-0.854037101,-0.859487042,63.78971126,4.336639484,-0.854037101,5.570442107,0.571018166,-11.95847249,5,3,1,2
ab0529,nocur_1,19,-6,10.41818182,120,1,8.660088634,1.06765338,2,12.49912442,1512.812553,-3.53081819,-3.550666568,81.10635709,4.40138848,-0.877817452,20.7297897,2.332274525,-6.4020402,6,3,1,2
ab0529,nocur_1,21,-6,10.41818182,120,-1,9.161600469,0.612236383,2,9.275759366,1483.456718,0.459730646,0.612244175,-56.01772313,8.794592612,0.478429271,3.903730149,0.453348466,4.985673874,6,3,1,2
ab0529,nocur_1,22,0,12,90,-1,9.510814821,0.240419014,2,10.67559633,1378.228146,2.212449787,2.230372175,-63.41292115,4.456460251,1.49148759,14.47931205,1.447303644,11.21290796,6,4,2,2
ab0529,nocur_1,23,-6,10.41818182,120,1,9.311911699,0.906938119,2,13.75276771,1426.338059,-3.6060416,-3.613952106,75.50359861,3.67804644,-1.730112645,23.22082389,2.291492449,-12.85951553,7,4,2,2
ab0529,nocur_1,24,-3.109090909,11.61818182,105,-1,8.625337122,0.614267779,2,9.027574531,1673.223839,1.290589175,1.428886221,-60.00385379,5.334111066,1.172059371,8.189129377,0.926215357,9.252582763,7,4,2,2
ab0529,nocur_1,25,6,10.41818182,60,-1,9.391122279,0.175737076,2,13.42402125,1561.939836,3.874285328,3.885525887,-74.76493756,3.853774351,3.632352847,26.5414877,2.378507846,56.80819005,7,4,2,2
ab0529,nocur_1,26,6,10.41818182,60,1,9.050858246,0.081467748,2,9.073472204,1031.559047,-0.699855965,-0.726894668,47.10560321,3.175215668,-0.693480553,4.731724204,0.51561085,-8.940708531,8,4,2,2
ab0529,nocur_1,27,3.109090909,11.61818182,75,1,8.812886049,-0.287968628,2,8.609719558,1223.799237,-0.622757162,-0.66734444,67.45091128,5.03564188,-0.664098403,4.255850787,0.461975289,-7.790679247,8,5,2,2
ab0529,nocur_1,28,0,12,90,1,9.037280721,-0.201016006,2,9.713236783,1138.22081,-1.512811344,-1.572066246,73.07651418,5.166664253,-1.53438718,9.782824192,1.027172099,-14.40165253,8,5,2,2
ab0529,nocur_1,29,-3.109090909,11.61818182,105,1,8.313069393,-0.879748797,2,10.29656133,1154.711786,-3.031489803,-3.047564328,71.08660095,4.532963928,-3.047060965,17.74549224,1.986511145,-34.90204167,9,5,2,2
ab0529,train_CCW,0,0,12,90,-1,12.30079199,0.158283009,3,15.48010637,2139.285314,3.372865576,3.588421334,-59.43728324,6.175413826,3.524333092,33.81965029,2.220001198,34.07556681,0,0,0,2
ab0529,train_CCW,1,-3.109090909,11.61818182,105,-1,11.78157711,0.044450396,3,12.78370556,1380,1.851180396,2.190044891,-59.18157836,7.86114979,1.99616462,18.3850936,1.365393071,22.02213501,0,0,0,2
ab0529,train_CCW,2,-6,10.41818182,120,-1,11.51193986,0.155550633,3,12.56960515,1274.399551,1.280595213,1.734427511,-46.36265454,7.314268878,1.546193402,12.52219528,0.993966191,16.49439117,0,0,0,2
ab0529,train_CCW,3,3.109090909,11.61818182,75,-1,12.12619942,0.112946961,3,15.72992937,2261.365307,3.720427984,3.916555782,-69.76385277,5.602453037,3.582109075,35.90317704,2.343977649,45.57132139,1,0,0,2
ab0529,train_CCW,4,6,10.41818182,60,-1,11.88704324,0.092110445,3,16.79731529,2136.254671,4.299351891,4.47377653,-82.78467742,5.920140952,4.377643527,43.08067988,2.704829755,44.38554727,1,0,0,2
ab0529,train_CCW,5,3.109090909,11.61818182,75,-1,12.20508619,0.179621731,3,15.08792121,1904.282536,2.839539262,2.909526151,-74.81811973,5.050482887,2.901084107,28.81501893,1.861366046,27.99214767,1,1,0,2
ab0529,train_CCW,6,6,10.41818182,60,-1,11.84734041,0.518489657,3,14.92579465,1360.305958,3.508411201,3.593132238,-86.01862181,5.365216829,3.52640569,34.05390854,2.366031054,28.78947318,2,1,0,2
ab0529,train_CCW,7,0,12,90,-1,11.99338087,0.363461605,3,13.36662775,1085.613052,2.239259869,2.35257854,-67.98912561,5.946298567,2.075270374,21.68899912,1.605133704,34.12836287,2,1,0,2
ab0529,train_CCW,8,-6,10.41818182,120,-1,11.77056533,-0.121668624,3,12.54379114,1538.191731,1.156262795,1.474664879,-50.55013867,8.975569787,1.114392925,11.88517668,1.007999923,16.48037967,2,1,0,2
ab0529,train_CCW,9,-3.109090909,11.61818182,105,-1,11.68679353,0.016577856,3,12.18703462,1231.520061,1.181724102,1.353499111,-63.79005903,7.000224224,1.207204836,11.57308802,0.931762429,15.72710826,3,1,0,2
ab0529,train_CCW,10,6,10.41818182,60,-1,12.11059144,0.282223076,3,16.39650801,1343.063535,3.688022828,4.185668145,89.92023464,7.353814851,4.045016373,40.47956027,2.518548608,36.01947592,3,2,1,2
ab0529,train_CCW,11,-6,10.41818182,120,-1,11.76827258,0.061802019,3,12.08828925,1703.699418,0.560983522,0.764526709,-53.06716508,6.615108495,0.371530759,5.64745035,0.467801578,10.46367833,3,2,1,2
ab0529,train_CCW,12,0,12,90,-1,12.50012572,0.024703459,3,13.37663035,1036.172629,1.45065391,1.606682096,-78.28108521,7.89736472,1.523632072,15.39428179,1.17806125,17.08147061,4,2,1,2
ab0529,train_CCW,13,-3.109090909,11.61818182,105,-1,12.06370894,0.029453588,3,12.75474639,1394.447612,0.945869784,1.23486361,-66.48534386,8.44786929,0.918248404,10.59599741,0.820231505,13.39692529,4,2,1,2
ab0529,train_CCW,14,3.109090909,11.61818182,75,-1,12.15689281,0.220242929,3,14.0089307,1420,2.600032856,2.824158565,-79.96227716,6.150007524,2.745462241,25.02793475,1.712381902,29.44730668,4,2,1,2
ab0529,train_CCW,15,-6,10.41818182,120,-1,11.95310126,0.108002857,3,12.37307073,1400,0.760609653,1.092290769,-52.07668266,8.098362907,0.583302763,8.109795725,0.671084237,10.70955027,5,3,1,2
ab0529,train_CCW,16,3.109090909,11.61818182,75,-1,12.05138984,0.405344366,3,14.23465248,956.5844154,2.748791313,3.032270856,-80.8231491,6.87075206,3.032270856,28.23032882,2.020016104,23.8133194,5,3,1,2
ab0529,train_CCW,17,6,10.41818182,60,-1,12.0451487,0.654109592,3,14.85292496,1084.416991,3.526260309,3.595126372,-86.57194495,5.47909853,3.575777867,34.55587401,2.379854074,30.93669169,5,3,1,2
ab0529,train_CCW,18,0,12,90,-1,12.12629812,0.232125156,3,12.93031509,1517.393597,1.888341341,2.002063554,-70.51667011,5.74616952,1.888341341,18.05107649,1.369897655,24.923464,6,3,1,2
ab0529,train_CCW,19,-3.109090909,11.61818182,105,-1,11.95880843,-0.204295909,3,12.52145407,981.4634799,0.932010576,1.031528939,-66.70605471,7.324799641,0.99201809,9.383408046,0.704594042,10.14286362,6,3,1,2
ab0529,train_CCW,20,3.109090909,11.61818182,75,-1,12.44329172,0.356979335,3,13.86432505,956.1006748,2.473662759,2.679233368,-81.56279485,6.270015617,2.564450694,25.49288333,1.796752902,29.06094191,6,4,2,2
ab0529,train_CCW,21,-6,10.41818182,120,-1,12.23967784,0.065038231,3,12.63162353,888.7521956,0.968432721,1.348561539,-48.93585014,7.022814251,1.12332595,10.7223335,0.831695653,13.19658264,7,4,2,2
ab0529,train_CCW,22,-3.109090909,11.61818182,105,-1,12.01554396,0.053785237,3,12.66790175,810.9248551,1.395819222,1.605645978,-60.07528087,6.174249446,1.534339089,13.32454271,0.98943717,16.96853746,7,4,2,2
ab0529,train_CCW,23,6,10.41818182,60,-1,12.09656432,0.162481772,3,15.70402449,1620,3.580789522,3.983648756,-89.68109413,6.850150921,3.872738402,36.78744419,2.296457967,35.87299147,7,4,2,2
ab0529,train_CCW,24,0,12,90,-1,11.80889378,0.500747941,3,12.00084075,955.3486554,1.046976602,1.104533476,-78.27407525,5.483692696,1.063188415,9.416225813,0.746412309,13.73714134,8,4,2,2
ab0529,train_CCW,25,-6,10.41818182,120,-1,12.19575355,-0.341833403,3,13.32370237,1116.797,1.07944537,1.475359979,-50.38967338,8.976968005,1.139204921,12.41658188,0.950750728,14.00992134,8,5,2,2
ab0529,train_CCW,26,6,10.41818182,60,-1,12.12908429,0.305335977,3,15.59948419,1852.046752,4.075853131,4.094452734,-77.76640303,4.553727282,3.935744857,36.70172073,2.481230422,33.95690742,8,5,2,2
ab0529,train_CCW,27,3.109090909,11.61818182,75,-1,12.3084441,0.545960541,3,13.35660632,942.8337559,2.47626082,2.55357433,-77.40830494,4.970436643,2.503673719,22.07435751,1.716999325,30.74714831,9,5,2,2
ab0529,train_CCW,28,-3.109090909,11.61818182,105,-1,11.93983819,0.001755558,3,12.49363112,1381.368151,1.093273208,1.314746774,-63.79848831,6.791343158,1.271277315,10.80924341,0.846557879,12.52746409,9,5,2,2
ab0529,train_CCW,29,0,12,90,-1,12.20276387,0.011809753,3,13.25880988,1268.573606,1.692942685,2.011031878,-73.93582878,7.152740211,1.858208476,17.27541265,1.268978908,20.40153894,9,5,2,2
